From,Entry,Entry Name,Domain [FT],Organism,Protein families,Gene Names
4nka,P11362,FGFR1_HUMAN,"DOMAIN 25..119; /note=""Ig-like C2-type 1""; DOMAIN 158..246; /note=""Ig-like C2-type 2""; DOMAIN 255..357; /note=""Ig-like C2-type 3""; DOMAIN 478..767; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, Fibroblast growth factor receptor subfamily",FGFR1 BFGFR CEK FGFBR FLG FLT2 HBGFR
4nks,P11362,FGFR1_HUMAN,"DOMAIN 25..119; /note=""Ig-like C2-type 1""; DOMAIN 158..246; /note=""Ig-like C2-type 2""; DOMAIN 255..357; /note=""Ig-like C2-type 3""; DOMAIN 478..767; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, Fibroblast growth factor receptor subfamily",FGFR1 BFGFR CEK FGFBR FLG FLT2 HBGFR
4nm0,O15169,AXIN1_HUMAN,"DOMAIN 88..211; /note=""RGS""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00171""; DOMAIN 780..862; /note=""DIX""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00069""",Homo sapiens (Human),,AXIN1 AXIN
4nm0,P49841,GSK3B_HUMAN,"DOMAIN 56..340; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, GSK-3 subfamily",GSK3B
4nm3,O15169,AXIN1_HUMAN,"DOMAIN 88..211; /note=""RGS""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00171""; DOMAIN 780..862; /note=""DIX""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00069""",Homo sapiens (Human),,AXIN1 AXIN
4nm3,P49841,GSK3B_HUMAN,"DOMAIN 56..340; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, GSK-3 subfamily",GSK3B
4nm5,O15169,AXIN1_HUMAN,"DOMAIN 88..211; /note=""RGS""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00171""; DOMAIN 780..862; /note=""DIX""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00069""",Homo sapiens (Human),,AXIN1 AXIN
4nm5,O75581,LRP6_HUMAN,"DOMAIN 282..324; /note=""EGF-like 1""; DOMAIN 588..628; /note=""EGF-like 2""; DOMAIN 889..930; /note=""EGF-like 3""; DOMAIN 1203..1244; /note=""EGF-like 4""; DOMAIN 1248..1286; /note=""LDL-receptor class A 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00124""; DOMAIN 1287..1323; /note=""LDL-receptor class A 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00124""; DOMAIN 1325..1361; /note=""LDL-receptor class A 3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00124""",Homo sapiens (Human),LDLR family,LRP6
4nm5,P49841,GSK3B_HUMAN,"DOMAIN 56..340; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, GSK-3 subfamily",GSK3B
4nm7,O15169,AXIN1_HUMAN,"DOMAIN 88..211; /note=""RGS""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00171""; DOMAIN 780..862; /note=""DIX""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00069""",Homo sapiens (Human),,AXIN1 AXIN
4nm7,O75581,LRP6_HUMAN,"DOMAIN 282..324; /note=""EGF-like 1""; DOMAIN 588..628; /note=""EGF-like 2""; DOMAIN 889..930; /note=""EGF-like 3""; DOMAIN 1203..1244; /note=""EGF-like 4""; DOMAIN 1248..1286; /note=""LDL-receptor class A 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00124""; DOMAIN 1287..1323; /note=""LDL-receptor class A 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00124""; DOMAIN 1325..1361; /note=""LDL-receptor class A 3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00124""",Homo sapiens (Human),LDLR family,LRP6
4nm7,P49841,GSK3B_HUMAN,"DOMAIN 56..340; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, GSK-3 subfamily",GSK3B
4nst,O75909,CCNK_HUMAN,,Homo sapiens (Human),"Cyclin family, Cyclin C subfamily",CCNK CPR4
4nst,Q9NYV4,CDK12_HUMAN,"DOMAIN 727..1020; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK12 CRK7 CRKRS KIAA0904
4nts,P05132,KAPCA_MOUSE,"DOMAIN 44..298; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 299..351; /note=""AGC-kinase C-terminal""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00618""",Mus musculus (Mouse),"Protein kinase superfamily, AGC Ser/Thr protein kinase family, cAMP subfamily",Prkaca Pkaca
4ntt,P05132,KAPCA_MOUSE,"DOMAIN 44..298; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 299..351; /note=""AGC-kinase C-terminal""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00618""",Mus musculus (Mouse),"Protein kinase superfamily, AGC Ser/Thr protein kinase family, cAMP subfamily",Prkaca Pkaca
4nu1,Q9WV60,GSK3B_MOUSE,"DOMAIN 56..340; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Mus musculus (Mouse),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, GSK-3 subfamily",Gsk3b
4nu1,O15169,AXIN1_HUMAN,"DOMAIN 88..211; /note=""RGS""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00171""; DOMAIN 780..862; /note=""DIX""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00069""",Homo sapiens (Human),,AXIN1 AXIN
4nus,P51812,KS6A3_HUMAN,"DOMAIN 68..327; /note=""Protein kinase 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 328..397; /note=""AGC-kinase C-terminal""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00618""; DOMAIN 422..679; /note=""Protein kinase 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, AGC Ser/Thr protein kinase family, S6 kinase subfamily",RPS6KA3 ISPK1 MAPKAPK1B RSK2
4nw5,P51812,KS6A3_HUMAN,"DOMAIN 68..327; /note=""Protein kinase 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 328..397; /note=""AGC-kinase C-terminal""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00618""; DOMAIN 422..679; /note=""Protein kinase 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, AGC Ser/Thr protein kinase family, S6 kinase subfamily",RPS6KA3 ISPK1 MAPKAPK1B RSK2
4nw6,P51812,KS6A3_HUMAN,"DOMAIN 68..327; /note=""Protein kinase 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 328..397; /note=""AGC-kinase C-terminal""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00618""; DOMAIN 422..679; /note=""Protein kinase 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, AGC Ser/Thr protein kinase family, S6 kinase subfamily",RPS6KA3 ISPK1 MAPKAPK1B RSK2
4nwm,Q06187,BTK_HUMAN,"DOMAIN 3..133; /note=""PH""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00145""; DOMAIN 214..274; /note=""SH3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00192""; DOMAIN 281..377; /note=""SH2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00191""; DOMAIN 402..655; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, TEC subfamily",BTK AGMX1 ATK BPK
4o0r,Q13153,PAK1_HUMAN,"DOMAIN 75..88; /note=""CRIB""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00057""; DOMAIN 270..521; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily",PAK1
4o0s,O14965,AURKA_HUMAN,"DOMAIN 133..383; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Ser/Thr protein kinase family, Aurora subfamily",AURKA AIK AIRK1 ARK1 AURA AYK1 BTAK IAK1 STK15 STK6
4o0t,Q13153,PAK1_HUMAN,"DOMAIN 75..88; /note=""CRIB""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00057""; DOMAIN 270..521; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily",PAK1
4o0u,O14965,AURKA_HUMAN,"DOMAIN 133..383; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Ser/Thr protein kinase family, Aurora subfamily",AURKA AIK AIRK1 ARK1 AURA AYK1 BTAK IAK1 STK15 STK6
4o0v,O96013,PAK4_HUMAN,"DOMAIN 11..24; /note=""CRIB""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00057""; DOMAIN 321..572; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily",PAK4 KIAA1142
4o0w,O14965,AURKA_HUMAN,"DOMAIN 133..383; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Ser/Thr protein kinase family, Aurora subfamily",AURKA AIK AIRK1 ARK1 AURA AYK1 BTAK IAK1 STK15 STK6
4o0x,O96013,PAK4_HUMAN,"DOMAIN 11..24; /note=""CRIB""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00057""; DOMAIN 321..572; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily",PAK4 KIAA1142
4o0y,O96013,PAK4_HUMAN,"DOMAIN 11..24; /note=""CRIB""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00057""; DOMAIN 321..572; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily",PAK4 KIAA1142
4o1o,A5H025,A5H025_PIG,"DOMAIN 363..583; /note=""Protein kinase""; /evidence=""ECO:0000259|PROSITE:PS50011""; DOMAIN 586..731; /note=""KEN""; /evidence=""ECO:0000259|PROSITE:PS51392""",Sus scrofa (Pig),,RNASEL
4o1p,A5H025,A5H025_PIG,"DOMAIN 363..583; /note=""Protein kinase""; /evidence=""ECO:0000259|PROSITE:PS50011""; DOMAIN 586..731; /note=""KEN""; /evidence=""ECO:0000259|PROSITE:PS51392""",Sus scrofa (Pig),,RNASEL
4o21,P05132,KAPCA_MOUSE,"DOMAIN 44..298; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 299..351; /note=""AGC-kinase C-terminal""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00618""",Mus musculus (Mouse),"Protein kinase superfamily, AGC Ser/Thr protein kinase family, cAMP subfamily",Prkaca Pkaca
4o21,P61925,IPKA_HUMAN,,Homo sapiens (Human),PKI family,PKIA PRKACN1
4o22,P05132,KAPCA_MOUSE,"DOMAIN 44..298; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 299..351; /note=""AGC-kinase C-terminal""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00618""",Mus musculus (Mouse),"Protein kinase superfamily, AGC Ser/Thr protein kinase family, cAMP subfamily",Prkaca Pkaca
4o22,P61925,IPKA_HUMAN,,Homo sapiens (Human),PKI family,PKIA PRKACN1
4o27,Q9Y376,CAB39_HUMAN,,Homo sapiens (Human),Mo25 family,CAB39 MO25 CGI-66
4o27,Q9Y6E0,STK24_HUMAN,"DOMAIN 36..286; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily",STK24 MST3 STK3
4o2p,P00523,SRC_CHICK,"DOMAIN 81..142; /note=""SH3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00192""; DOMAIN 148..245; /note=""SH2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00191""; DOMAIN 267..520; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Gallus gallus (Chicken),"Protein kinase superfamily, Tyr protein kinase family, SRC subfamily",SRC
4o38,O14976,GAK_HUMAN,"DOMAIN 40..314; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 399..566; /note=""Phosphatase tensin-type""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00590""; DOMAIN 572..710; /note=""C2 tensin-type""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00589""; DOMAIN 1247..1311; /note=""J""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00286""",Homo sapiens (Human),"Protein kinase superfamily, Ser/Thr protein kinase family",GAK
4o6e,P28482,MK01_HUMAN,"DOMAIN 25..313; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",MAPK1 ERK2 PRKM1 PRKM2
4o6l,P33981,TTK_HUMAN,"DOMAIN 525..791; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Ser/Thr protein kinase family",TTK MPS1 MPS1L1
4o91,O43318,M3K7_HUMAN,"DOMAIN 36..291; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase kinase subfamily",MAP3K7 TAK1
4o91,Q15750,TAB1_HUMAN,"DOMAIN 28..365; /note=""PPM-type phosphatase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU01082""",Homo sapiens (Human),,TAB1 MAP3K7IP1
4obo,O95819,M4K4_HUMAN,"DOMAIN 25..289; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 926..1213; /note=""CNH""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00795""",Homo sapiens (Human),"Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily",MAP4K4 HGK KIAA0687 NIK
4obp,O95819,M4K4_HUMAN,"DOMAIN 25..289; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 926..1213; /note=""CNH""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00795""",Homo sapiens (Human),"Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily",MAP4K4 HGK KIAA0687 NIK
4obq,O95819,M4K4_HUMAN,"DOMAIN 25..289; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 926..1213; /note=""CNH""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00795""",Homo sapiens (Human),"Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily",MAP4K4 HGK KIAA0687 NIK
4ogr,P69698,TAT_HV1H3,,Human immunodeficiency virus type 1 group M subtype B (isolate HXB3) (HIV-1),Lentiviruses Tat family,tat
4ogr,O60563,CCNT1_HUMAN,,Homo sapiens (Human),"Cyclin family, Cyclin C subfamily",CCNT1
4ogr,P50750,CDK9_HUMAN,"DOMAIN 19..315; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK9 CDC2L4 TAK
4ogr,Q9UHB7,AFF4_HUMAN,,Homo sapiens (Human),AF4 family,AFF4 AF5Q31 MCEF HSPC092
4oli,P29597,TYK2_HUMAN,"DOMAIN 26..431; /note=""FERM""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00084""; DOMAIN 450..529; /note=""SH2; atypical""; DOMAIN 589..875; /note=""Protein kinase 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 897..1176; /note=""Protein kinase 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, JAK subfamily",TYK2
4ona,Q9BJF5,Q9BJF5_TOXGO,"DOMAIN 51..308; /note=""Protein kinase""; /evidence=""ECO:0000259|PROSITE:PS50011""; DOMAIN 355..390; /note=""EF-hand""; /evidence=""ECO:0000259|PROSITE:PS50222""; DOMAIN 402..437; /note=""EF-hand""; /evidence=""ECO:0000259|PROSITE:PS50222""; DOMAIN 438..467; /note=""EF-hand""; /evidence=""ECO:0000259|PROSITE:PS50222""; DOMAIN 472..507; /note=""EF-hand""; /evidence=""ECO:0000259|PROSITE:PS50222""",Toxoplasma gondii,"Protein kinase superfamily, Ser/Thr protein kinase family, CDPK subfamily",CDPK1
4or5,P04608,TAT_HV1H2,,Human immunodeficiency virus type 1 group M subtype B (isolate HXB2) (HIV-1),Lentiviruses Tat family,tat
4or5,O60563,CCNT1_HUMAN,,Homo sapiens (Human),"Cyclin family, Cyclin C subfamily",CCNT1
4or5,P50750,CDK9_HUMAN,"DOMAIN 19..315; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK9 CDC2L4 TAK
4or5,Q9UHB7,AFF4_HUMAN,,Homo sapiens (Human),AF4 family,AFF4 AF5Q31 MCEF HSPC092
4ot5,Q06187,BTK_HUMAN,"DOMAIN 3..133; /note=""PH""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00145""; DOMAIN 214..274; /note=""SH3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00192""; DOMAIN 281..377; /note=""SH2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00191""; DOMAIN 402..655; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, TEC subfamily",BTK AGMX1 ATK BPK
4ot6,Q06187,BTK_HUMAN,"DOMAIN 3..133; /note=""PH""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00145""; DOMAIN 214..274; /note=""SH3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00192""; DOMAIN 281..377; /note=""SH2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00191""; DOMAIN 402..655; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, TEC subfamily",BTK AGMX1 ATK BPK
4otf,Q06187,BTK_HUMAN,"DOMAIN 3..133; /note=""PH""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00145""; DOMAIN 214..274; /note=""SH3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00192""; DOMAIN 281..377; /note=""SH2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00191""; DOMAIN 402..655; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, TEC subfamily",BTK AGMX1 ATK BPK
4otg,Q16512,PKN1_HUMAN,"DOMAIN 25..100; /note=""REM-1 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU01207""; DOMAIN 112..193; /note=""REM-1 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU01207""; DOMAIN 201..280; /note=""REM-1 3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU01207""; DOMAIN 307..470; /note=""C2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00041""; DOMAIN 615..874; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 875..942; /note=""AGC-kinase C-terminal""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00618""",Homo sapiens (Human),"Protein kinase superfamily, AGC Ser/Thr protein kinase family, PKC subfamily",PKN1 PAK1 PKN PRK1 PRKCL1
4oth,Q16512,PKN1_HUMAN,"DOMAIN 25..100; /note=""REM-1 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU01207""; DOMAIN 112..193; /note=""REM-1 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU01207""; DOMAIN 201..280; /note=""REM-1 3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU01207""; DOMAIN 307..470; /note=""C2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00041""; DOMAIN 615..874; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 875..942; /note=""AGC-kinase C-terminal""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00618""",Homo sapiens (Human),"Protein kinase superfamily, AGC Ser/Thr protein kinase family, PKC subfamily",PKN1 PAK1 PKN PRK1 PRKCL1
4oti,Q16512,PKN1_HUMAN,"DOMAIN 25..100; /note=""REM-1 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU01207""; DOMAIN 112..193; /note=""REM-1 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU01207""; DOMAIN 201..280; /note=""REM-1 3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU01207""; DOMAIN 307..470; /note=""C2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00041""; DOMAIN 615..874; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 875..942; /note=""AGC-kinase C-terminal""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00618""",Homo sapiens (Human),"Protein kinase superfamily, AGC Ser/Thr protein kinase family, PKC subfamily",PKN1 PAK1 PKN PRK1 PRKCL1
4otq,Q06187,BTK_HUMAN,"DOMAIN 3..133; /note=""PH""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00145""; DOMAIN 214..274; /note=""SH3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00192""; DOMAIN 281..377; /note=""SH2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00191""; DOMAIN 402..655; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, TEC subfamily",BTK AGMX1 ATK BPK
4otr,Q06187,BTK_HUMAN,"DOMAIN 3..133; /note=""PH""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00145""; DOMAIN 214..274; /note=""SH3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00192""; DOMAIN 281..377; /note=""SH2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00191""; DOMAIN 402..655; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, TEC subfamily",BTK AGMX1 ATK BPK
4p2k,P29317,EPHA2_HUMAN,"DOMAIN 28..206; /note=""Eph LBD""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00883""; DOMAIN 328..432; /note=""Fibronectin type-III 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00316""; DOMAIN 438..529; /note=""Fibronectin type-III 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00316""; DOMAIN 613..875; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 904..968; /note=""SAM""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00184""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, Ephrin receptor subfamily",EPHA2 ECK
4p4c,P29320,EPHA3_HUMAN,"DOMAIN 29..207; /note=""Eph LBD""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00883""; DOMAIN 325..435; /note=""Fibronectin type-III 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00316""; DOMAIN 436..531; /note=""Fibronectin type-III 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00316""; DOMAIN 621..882; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 911..975; /note=""SAM""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00184""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, Ephrin receptor subfamily",EPHA3 ETK ETK1 HEK TYRO4
4p5q,P29320,EPHA3_HUMAN,"DOMAIN 29..207; /note=""Eph LBD""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00883""; DOMAIN 325..435; /note=""Fibronectin type-III 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00316""; DOMAIN 436..531; /note=""Fibronectin type-III 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00316""; DOMAIN 621..882; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 911..975; /note=""SAM""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00184""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, Ephrin receptor subfamily",EPHA3 ETK ETK1 HEK TYRO4
4p5z,P29320,EPHA3_HUMAN,"DOMAIN 29..207; /note=""Eph LBD""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00883""; DOMAIN 325..435; /note=""Fibronectin type-III 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00316""; DOMAIN 436..531; /note=""Fibronectin type-III 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00316""; DOMAIN 621..882; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 911..975; /note=""SAM""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00184""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, Ephrin receptor subfamily",EPHA3 ETK ETK1 HEK TYRO4
